goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,7,0.06 ms,2,0
True,7,0.07 ms,2,2
True,5,0.08 ms,3,0
True,7,0.12 ms,1,2
True,5,0.06 ms,2,0
True,5,0.10 ms,2,0
True,5,0.06 ms,1,0
True,7,0.06 ms,2,0
True,8,0.07 ms,3,0
True,7,0.06 ms,1,0
True,6,0.06 ms,1,0
True,6,0.06 ms,2,0
True,8,0.06 ms,2,2
True,7,0.07 ms,4,2
True,5,0.06 ms,1,0
True,10,0.07 ms,2,2
True,8,0.07 ms,1,0
True,5,0.05 ms,1,0
True,5,0.06 ms,2,0
True,7,0.06 ms,2,0
True,6,0.07 ms,1,2
True,9,0.06 ms,2,2
True,5,0.18 ms,1,0
True,8,0.07 ms,2,0
True,5,0.07 ms,2,0
True,10,0.07 ms,1,0
True,7,0.06 ms,2,0
True,7,0.07 ms,2,0
True,10,0.06 ms,2,4
True,7,0.06 ms,3,2
True,6,0.06 ms,2,0
True,5,0.07 ms,3,0
True,9,0.06 ms,2,2
True,5,0.06 ms,1,0
True,11,0.06 ms,1,2
True,5,0.06 ms,3,0
True,5,0.07 ms,2,0
True,6,0.07 ms,2,0
True,8,0.06 ms,2,2
True,5,0.06 ms,3,0
True,10,0.07 ms,2,2
True,5,0.05 ms,1,0
True,6,0.07 ms,4,2
True,5,0.06 ms,3,0
True,6,0.06 ms,3,0
True,5,0.05 ms,2,0
True,9,0.11 ms,0,2
True,9,0.06 ms,1,2
True,9,0.07 ms,1,0
True,5,0.06 ms,2,0
