goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,7,0.06 ms,2,0
True,5,0.05 ms,3,0
True,8,0.06 ms,3,2
True,7,0.06 ms,1,0
True,7,0.05 ms,1,2
True,7,0.05 ms,2,0
True,5,0.05 ms,2,0
True,6,0.06 ms,2,2
True,7,0.06 ms,2,2
True,5,0.05 ms,3,0
True,8,0.06 ms,1,0
True,5,0.06 ms,1,0
True,6,0.05 ms,2,0
True,11,0.05 ms,2,4
True,8,0.06 ms,1,0
True,6,0.05 ms,4,0
True,6,0.05 ms,1,0
True,9,0.06 ms,1,2
True,8,0.05 ms,2,2
True,9,0.06 ms,1,0
True,5,0.05 ms,1,0
True,9,0.06 ms,0,2
True,7,0.06 ms,2,2
True,7,0.06 ms,0,0
True,9,0.05 ms,3,2
True,9,0.05 ms,2,2
True,7,0.06 ms,2,2
True,6,0.05 ms,2,0
True,7,0.05 ms,0,0
True,8,0.06 ms,2,2
True,6,0.06 ms,2,0
True,7,0.05 ms,3,2
True,6,0.06 ms,2,0
True,8,0.06 ms,1,0
True,7,0.06 ms,3,2
True,7,0.05 ms,1,0
True,7,0.06 ms,0,0
True,5,0.05 ms,1,0
True,10,0.05 ms,1,4
True,5,0.05 ms,1,0
True,5,0.05 ms,1,0
True,5,0.05 ms,2,0
True,7,0.05 ms,3,0
True,7,0.05 ms,1,2
True,5,0.05 ms,1,0
True,5,0.06 ms,2,0
True,5,0.05 ms,1,0
True,9,0.06 ms,1,0
True,7,0.05 ms,2,0
True,6,0.05 ms,2,0
