goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,6,0.02 ms,0,0
True,8,0.02 ms,0,0
True,9,0.02 ms,0,0
True,11,0.02 ms,0,0
True,6,0.02 ms,0,0
True,8,0.02 ms,0,0
True,9,0.02 ms,0,0
True,11,0.02 ms,0,0
True,8,0.02 ms,0,0
True,12,0.03 ms,0,0
True,12,0.02 ms,0,0
True,12,0.02 ms,0,0
True,7,0.02 ms,0,0
True,6,0.02 ms,0,0
True,12,0.02 ms,0,0
True,7,0.02 ms,0,0
True,7,0.02 ms,0,0
True,8,0.02 ms,0,0
True,10,0.02 ms,0,0
True,9,0.02 ms,0,0
True,11,0.02 ms,0,0
True,8,0.02 ms,0,0
True,8,0.02 ms,0,0
True,8,0.02 ms,0,0
True,8,0.02 ms,0,0
True,12,0.04 ms,0,0
True,9,0.02 ms,0,0
True,11,0.02 ms,0,0
True,8,0.02 ms,0,0
True,10,0.02 ms,0,0
True,7,0.02 ms,0,0
True,7,0.02 ms,0,0
True,9,0.03 ms,0,0
True,10,0.02 ms,0,0
True,10,0.02 ms,0,0
True,10,0.03 ms,0,0
True,9,0.02 ms,0,0
True,10,0.03 ms,0,0
True,11,0.02 ms,0,0
True,7,0.02 ms,0,0
True,10,0.03 ms,0,0
True,9,0.02 ms,0,0
True,8,0.02 ms,0,0
True,11,0.02 ms,0,0
True,10,0.02 ms,0,0
True,11,0.02 ms,0,0
True,8,0.02 ms,0,0
True,11,0.03 ms,0,0
True,7,0.02 ms,0,0
True,8,0.02 ms,0,0
