goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,4,0.04 ms,1,0
True,4,0.04 ms,2,0
True,2,0.04 ms,1,0
True,3,0.04 ms,1,0
True,4,0.04 ms,1,0
True,3,0.04 ms,2,0
True,3,0.03 ms,1,1
True,2,0.03 ms,1,0
True,3,0.04 ms,2,0
True,3,0.03 ms,1,0
True,4,0.04 ms,1,1
True,3,0.04 ms,1,0
True,4,0.04 ms,1,1
True,3,0.04 ms,2,0
True,4,0.04 ms,1,1
True,5,0.04 ms,1,1
True,3,0.04 ms,2,0
True,4,0.04 ms,1,0
True,5,0.04 ms,1,0
True,3,0.04 ms,1,1
True,3,0.04 ms,1,0
True,4,0.04 ms,1,0
True,4,0.04 ms,1,0
True,5,0.04 ms,1,1
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.04 ms,1,1
True,3,0.04 ms,1,0
True,5,0.04 ms,2,1
True,2,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,4,0.06 ms,1,2
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,2,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,4,0.03 ms,1,0
True,3,0.03 ms,1,1
True,3,0.04 ms,1,0
True,3,0.04 ms,1,1
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.04 ms,1,0
True,3,0.03 ms,1,1
True,3,0.04 ms,2,0
True,4,0.04 ms,1,1
True,3,0.04 ms,1,0
