domain,mode,condition,goal_reached,convo_length,average_search_time,number_jumps,number_redundant
bank,dynamic,none,TRUE,8,0.06,0,0
bank,dynamic,none,TRUE,12,0.06,0,0
bank,dynamic,none,TRUE,5,0.04,0,0
bank,dynamic,none,TRUE,8,0.07,0,0
bank,dynamic,none,TRUE,8,0.06,0,0
bank,dynamic,none,TRUE,6,0.05,0,0
bank,dynamic,none,TRUE,10,0.06,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,11,0.06,0,0
bank,dynamic,none,TRUE,11,0.06,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,9,0.05,0,0
bank,dynamic,none,TRUE,9,0.05,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,12,0.07,0,0
bank,dynamic,none,TRUE,12,0.06,0,0
bank,dynamic,none,TRUE,13,0.06,0,0
bank,dynamic,none,TRUE,6,0.05,0,0
bank,dynamic,none,TRUE,11,0.05,0,0
bank,dynamic,none,TRUE,6,0.05,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,5,0.04,0,0
bank,dynamic,none,TRUE,7,0.05,0,0
bank,dynamic,none,TRUE,12,0.06,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,9,0.05,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,10,0.06,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,6,0.06,0,0
bank,dynamic,none,TRUE,9,0.05,0,0
bank,dynamic,none,TRUE,8,0.05,0,0
bank,dynamic,none,TRUE,5,0.04,0,0
bank,dynamic,none,TRUE,6,0.04,0,0
bank,dynamic,none,TRUE,12,0.06,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,8,0.05,0,0
bank,dynamic,none,TRUE,11,0.06,0,0
bank,dynamic,none,TRUE,13,0.05,0,0
bank,dynamic,none,TRUE,8,0.06,0,0
bank,dynamic,none,TRUE,10,0.05,0,0
bank,dynamic,none,TRUE,7,0.06,0,0
bank,dynamic,none,TRUE,8,0.06,0,0
bank,dynamic,none,TRUE,11,0.05,0,0
bank,dynamic,none,TRUE,9,0.05,0,0
bank,dynamic,none,TRUE,6,0.05,0,0
bank,dynamic,none,TRUE,9,0.06,0,0
bank,dynamic,none,TRUE,7,0.05,0,0
bank,dynamic,one,TRUE,10,0.05,1,2
bank,dynamic,one,TRUE,6,0.05,1,0
bank,dynamic,one,TRUE,9,0.06,1,0
bank,dynamic,one,TRUE,5,0.08,2,0
bank,dynamic,one,TRUE,6,0.05,0,0
bank,dynamic,one,TRUE,10,0.05,0,0
bank,dynamic,one,TRUE,8,0.05,2,2
bank,dynamic,one,TRUE,9,0.06,1,0
bank,dynamic,one,TRUE,11,0.05,1,2
bank,dynamic,one,TRUE,6,0.06,2,0
bank,dynamic,one,TRUE,5,0.05,0,0
bank,dynamic,one,TRUE,11,0.05,1,2
bank,dynamic,one,TRUE,7,0.05,1,0
bank,dynamic,one,TRUE,8,0.06,2,0
bank,dynamic,one,TRUE,5,0.05,1,0
bank,dynamic,one,TRUE,6,0.05,2,0
bank,dynamic,one,TRUE,9,0.06,1,4
bank,dynamic,one,TRUE,6,0.05,3,0
bank,dynamic,one,TRUE,8,0.06,3,0
bank,dynamic,one,TRUE,8,0.05,2,2
