goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,4,0.07 ms,1,0
True,5,0.06 ms,2,0
True,7,0.07 ms,3,0
True,3,0.07 ms,2,0
True,5,0.07 ms,1,0
True,5,0.07 ms,2,0
True,5,0.07 ms,1,0
True,5,0.07 ms,1,0
True,4,0.06 ms,1,0
True,5,0.07 ms,1,0
True,3,0.07 ms,2,0
True,4,0.07 ms,1,0
True,5,0.07 ms,1,0
True,5,0.07 ms,1,0
True,5,0.07 ms,2,0
True,5,0.07 ms,1,0
True,5,0.07 ms,2,0
True,5,0.07 ms,1,0
True,5,0.07 ms,1,0
True,5,0.07 ms,1,0
True,3,0.06 ms,1,0
True,9,0.07 ms,3,0
True,8,0.07 ms,2,0
True,4,0.07 ms,1,0
True,4,0.07 ms,1,0
True,7,0.07 ms,2,0
True,5,0.07 ms,3,0
True,5,0.07 ms,2,0
True,4,0.06 ms,1,0
True,5,0.07 ms,1,0
True,4,0.07 ms,1,0
True,5,0.07 ms,1,0
True,3,0.07 ms,2,0
True,6,0.08 ms,1,0
True,3,0.08 ms,1,0
True,4,0.07 ms,1,0
True,8,0.07 ms,3,0
True,4,0.07 ms,1,0
True,5,0.07 ms,1,0
True,4,0.07 ms,1,0
True,5,0.07 ms,1,0
True,4,0.07 ms,2,0
True,5,0.08 ms,1,0
True,4,0.07 ms,1,0
True,4,0.07 ms,3,0
True,4,0.07 ms,1,0
True,8,0.07 ms,2,0
True,6,0.07 ms,2,0
True,5,0.07 ms,1,0
True,6,0.07 ms,2,0
