goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,6,0.02 ms,0,1
True,9,0.02 ms,0,2
True,6,0.02 ms,0,1
True,5,0.02 ms,0,1
True,7,0.02 ms,0,2
True,6,0.02 ms,0,2
True,6,0.02 ms,0,1
True,5,0.02 ms,0,1
True,7,0.02 ms,0,1
True,6,0.02 ms,0,1
True,7,0.02 ms,0,2
True,5,0.02 ms,0,1
True,6,0.02 ms,0,1
True,5,0.02 ms,0,1
True,6,0.02 ms,0,1
True,13,0.02 ms,0,3
True,7,0.02 ms,0,1
True,5,0.02 ms,0,1
True,6,0.02 ms,0,2
True,7,0.02 ms,0,1
True,7,0.02 ms,0,2
True,6,0.02 ms,0,2
True,5,0.02 ms,0,2
True,5,0.02 ms,0,2
True,7,0.02 ms,0,3
True,5,0.02 ms,0,1
True,7,0.02 ms,0,1
True,7,0.02 ms,0,2
True,6,0.02 ms,0,2
True,5,0.02 ms,0,1
True,5,0.02 ms,0,3
True,5,0.02 ms,0,1
True,6,0.02 ms,0,2
True,9,0.02 ms,0,3
True,7,0.02 ms,0,2
True,6,0.02 ms,0,2
True,5,0.02 ms,0,1
True,7,0.02 ms,0,2
True,7,0.02 ms,0,3
True,5,0.02 ms,0,0
True,5,0.02 ms,0,1
True,5,0.02 ms,0,2
True,5,0.02 ms,0,1
True,5,0.02 ms,0,1
True,6,0.02 ms,0,1
True,5,0.02 ms,0,2
True,6,0.02 ms,0,1
True,6,0.02 ms,0,1
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
