goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,5,0.03 ms,0,3
True,6,0.04 ms,0,2
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,5,0.02 ms,0,3
True,9,0.02 ms,0,4
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,7,0.02 ms,0,3
True,6,0.02 ms,0,3
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,5,0.02 ms,0,3
True,9,0.02 ms,0,3
True,5,0.02 ms,0,2
True,7,0.05 ms,0,3
True,9,0.07 ms,0,4
True,6,0.02 ms,0,3
True,5,0.02 ms,0,3
True,5,0.04 ms,0,2
True,7,0.02 ms,0,3
True,13,0.03 ms,0,5
True,7,0.03 ms,0,3
True,6,0.02 ms,0,3
True,7,0.02 ms,0,3
True,7,0.02 ms,0,3
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,5,0.02 ms,0,2
True,5,0.02 ms,0,2
True,6,0.03 ms,0,3
True,7,0.02 ms,0,2
True,6,0.02 ms,0,3
True,6,0.02 ms,0,3
True,5,0.04 ms,0,3
True,5,0.03 ms,0,3
True,5,0.02 ms,0,3
True,8,0.02 ms,0,3
True,5,0.03 ms,0,3
True,5,0.02 ms,0,3
True,7,0.02 ms,0,3
True,6,0.04 ms,0,2
