domain,mode,condition,goal_reached,convo_length,average_search_time,number_jumps,number_redundant
bank,dynamic,none,TRUE,7,0.03 ms,0,0
bank,dynamic,none,TRUE,12,0.04 ms,0,0
bank,dynamic,none,TRUE,10,0.03 ms,0,0
bank,dynamic,none,TRUE,11,0.03 ms,0,0
bank,dynamic,none,TRUE,9,0.04 ms,0,0
bank,dynamic,none,TRUE,9,0.04 ms,0,0
bank,dynamic,none,TRUE,10,0.04 ms,0,0
bank,dynamic,none,TRUE,10,0.04 ms,0,0
bank,dynamic,none,TRUE,10,0.03 ms,0,0
bank,dynamic,none,TRUE,10,0.03 ms,0,0
bank,dynamic,none,TRUE,8,0.04 ms,0,0
bank,dynamic,none,TRUE,7,0.03 ms,0,0
bank,dynamic,none,TRUE,9,0.04 ms,0,0
bank,dynamic,none,TRUE,7,0.04 ms,0,0
bank,dynamic,none,TRUE,9,0.03 ms,0,0
bank,dynamic,none,TRUE,11,0.04 ms,0,0
bank,dynamic,none,TRUE,12,0.04 ms,0,0
bank,dynamic,none,TRUE,7,0.04 ms,0,0
bank,dynamic,none,TRUE,8,0.03 ms,0,0
bank,dynamic,none,TRUE,6,0.04 ms,0,0
bank,dynamic,one,TRUE,9,0.04 ms,1,0
bank,dynamic,one,TRUE,8,0.04 ms,0,0
bank,dynamic,one,TRUE,9,0.04 ms,1,0
bank,dynamic,one,TRUE,5,0.04 ms,2,0
bank,dynamic,one,TRUE,5,0.04 ms,1,0
bank,dynamic,one,TRUE,8,0.04 ms,1,0
bank,dynamic,one,TRUE,6,0.03 ms,1,0
bank,dynamic,one,TRUE,7,0.04 ms,1,0
bank,dynamic,one,TRUE,6,0.03 ms,0,0
bank,dynamic,one,TRUE,7,0.04 ms,1,0
bank,dynamic,one,TRUE,7,0.03 ms,0,0
bank,dynamic,one,TRUE,6,0.04 ms,2,0
bank,dynamic,one,TRUE,8,0.04 ms,1,0
bank,dynamic,one,TRUE,7,0.04 ms,0,0
bank,dynamic,one,TRUE,6,0.05 ms,1,0
bank,dynamic,one,TRUE,8,0.04 ms,1,2
bank,dynamic,one,TRUE,5,0.03 ms,1,0
bank,dynamic,one,TRUE,8,0.04 ms,2,2
bank,dynamic,one,TRUE,9,0.04 ms,2,0
bank,dynamic,one,TRUE,11,0.04 ms,0,2
bank,dynamic,two,TRUE,5,0.03 ms,2,0
bank,dynamic,two,TRUE,7,0.04 ms,0,0
bank,dynamic,two,TRUE,6,0.04 ms,2,0
bank,dynamic,two,TRUE,8,0.04 ms,3,2
bank,dynamic,two,TRUE,6,0.04 ms,1,0
bank,dynamic,two,TRUE,8,0.04 ms,2,2
bank,dynamic,two,TRUE,5,0.04 ms,2,0
bank,dynamic,two,TRUE,5,0.04 ms,3,0
bank,dynamic,two,TRUE,8,0.04 ms,2,2
bank,dynamic,two,TRUE,6,0.03 ms,1,0
bank,dynamic,two,TRUE,7,0.04 ms,4,0
bank,dynamic,two,TRUE,10,0.04 ms,1,0
bank,dynamic,two,TRUE,5,0.04 ms,1,0
bank,dynamic,two,TRUE,5,0.04 ms,1,0
bank,dynamic,two,TRUE,6,0.05 ms,3,0
bank,dynamic,two,TRUE,9,0.04 ms,0,0
bank,dynamic,two,TRUE,7,0.04 ms,2,0
bank,dynamic,two,TRUE,7,0.04 ms,4,2
bank,dynamic,two,TRUE,6,0.04 ms,3,0
bank,dynamic,two,TRUE,5,0.04 ms,1,0
bank,dynamic,three,TRUE,9,0.04 ms,3,2
bank,dynamic,three,TRUE,6,0.04 ms,2,0
bank,dynamic,three,TRUE,8,0.04 ms,0,0
bank,dynamic,three,TRUE,5,0.04 ms,1,0
bank,dynamic,three,TRUE,5,0.06 ms,3,0
bank,dynamic,three,TRUE,7,0.04 ms,3,0
bank,dynamic,three,TRUE,8,0.04 ms,2,0
bank,dynamic,three,TRUE,7,0.06 ms,3,2
bank,dynamic,three,TRUE,5,0.06 ms,1,0
bank,dynamic,three,TRUE,7,0.04 ms,2,0
bank,dynamic,three,TRUE,7,0.04 ms,2,0
bank,dynamic,three,TRUE,7,0.04 ms,3,2
bank,dynamic,three,TRUE,5,0.04 ms,2,0
bank,dynamic,three,TRUE,7,0.04 ms,2,2
bank,dynamic,three,TRUE,5,0.04 ms,2,0
bank,dynamic,three,TRUE,6,0.04 ms,2,0
bank,dynamic,three,TRUE,5,0.04 ms,2,0
bank,dynamic,three,TRUE,7,0.04 ms,1,0
bank,dynamic,three,TRUE,5,0.03 ms,1,0
bank,dynamic,three,TRUE,6,0.05 ms,2,0
bank,static,none,TRUE,9,0.02 ms,0,0
bank,static,none,TRUE,8,0.01 ms,0,0
bank,static,none,TRUE,8,0.01 ms,0,0
bank,static,none,TRUE,9,0.01 ms,0,0
bank,static,none,TRUE,6,0.01 ms,0,0
bank,static,none,TRUE,8,0.01 ms,0,0
bank,static,none,TRUE,7,0.01 ms,0,0
bank,static,none,TRUE,12,0.01 ms,0,0
bank,static,none,TRUE,9,0.01 ms,0,0
bank,static,none,TRUE,10,0.01 ms,0,0
bank,static,none,TRUE,7,0.01 ms,0,0
bank,static,none,TRUE,11,0.01 ms,0,0
bank,static,none,TRUE,8,0.01 ms,0,0
bank,static,none,TRUE,13,0.01 ms,0,0
bank,static,none,TRUE,6,0.01 ms,0,0
bank,static,none,TRUE,7,0.01 ms,0,0
bank,static,none,TRUE,7,0.01 ms,0,0
bank,static,none,TRUE,7,0.01 ms,0,0
bank,static,none,TRUE,8,0.01 ms,0,0
bank,static,none,TRUE,9,0.01 ms,0,0
bank,static,one,TRUE,9,0.02 ms,0,0
bank,static,one,TRUE,11,0.02 ms,0,0
bank,static,one,TRUE,10,0.02 ms,0,2
bank,static,one,TRUE,11,0.02 ms,0,0
bank,static,one,TRUE,10,0.02 ms,0,0
bank,static,one,TRUE,13,0.02 ms,0,0
bank,static,one,TRUE,10,0.02 ms,0,2
bank,static,one,TRUE,7,0.02 ms,0,0
bank,static,one,TRUE,10,0.02 ms,0,2
bank,static,one,TRUE,10,0.02 ms,0,0
bank,static,one,TRUE,7,0.01 ms,0,0
bank,static,one,TRUE,7,0.01 ms,0,0
bank,static,one,TRUE,8,0.01 ms,0,0
bank,static,one,TRUE,8,0.02 ms,0,0
bank,static,one,TRUE,11,0.01 ms,0,2
bank,static,one,TRUE,7,0.01 ms,0,0
bank,static,one,TRUE,10,0.02 ms,0,0
bank,static,one,TRUE,13,0.02 ms,0,2
bank,static,one,TRUE,7,0.02 ms,0,0
bank,static,one,TRUE,9,0.02 ms,0,0
bank,static,two,TRUE,11,0.02 ms,0,2
bank,static,two,TRUE,10,0.02 ms,0,2
bank,static,two,TRUE,11,0.02 ms,0,2
bank,static,two,TRUE,9,0.02 ms,0,2
bank,static,two,TRUE,7,0.01 ms,0,0
bank,static,two,TRUE,9,0.02 ms,0,2
bank,static,two,TRUE,10,0.02 ms,0,0
bank,static,two,TRUE,9,0.02 ms,0,2
bank,static,two,TRUE,11,0.02 ms,0,2
bank,static,two,TRUE,7,0.02 ms,0,2
bank,static,two,TRUE,12,0.02 ms,0,2
bank,static,two,TRUE,7,0.02 ms,0,0
bank,static,two,TRUE,7,0.02 ms,0,2
bank,static,two,TRUE,5,0.01 ms,0,0
bank,static,two,TRUE,9,0.02 ms,0,2
bank,static,two,TRUE,12,0.02 ms,0,2
bank,static,two,TRUE,7,0.02 ms,0,0
bank,static,two,TRUE,10,0.02 ms,0,2
